State	Total Child Population	Number in Poverty	Percentage of Population
DE	147896	25833	17.47%
HI	216964	31378	14.46%
TX	5159401	1185167	22.97%
MA	1024413	143026	13.96%
MD	980790	126829	12.93%
IA	530614	74948	14.12%
ME	194198	31873	16.41%
ID	317248	54061	17.04%
MI	1653498	336070	20.32%
UT	651984	81347	12.48%
MN	933181	123052	13.19%
MO	1018305	192099	18.86%
IL	2197789	404950	18.43%
IN	1162374	217457	18.71%
MS	537161	154129	28.69%
MT	163830	28508	17.40%
AK	131835	18113	13.74%
AL	812866	207154	25.48%
VA	1354222	199966	14.77%
AR	515398	123704	24.00%
NC	1680073	373438	22.23%
ND	117511	14011	11.92%
NE	336431	48249	14.34%
RI	157956	29926	18.95%
AZ	1188665	278182	23.40%
NH	202596	22097	10.91%
NJ	1479562	216685	14.65%
VT	91169	12473	13.68%
NM	364816	93819	25.72%
FL	2969235	666307	22.44%
NV	486828	96913	19.91%
WA	1156151	180464	15.61%
NY	3044303	646554	21.24%
SC	794229	195415	24.60%
SD	149797	23496	15.69%
WI	958821	155813	16.25%
OH	1947717	395789	20.32%
GA	1830607	447407	24.44%
OK	687225	141065	20.53%
CA	6637352	1424454	21.46%
WV	277662	61365	22.10%
WY	100110	11927	11.91%
OR	628559	117394	18.68%
KS	522059	83873	16.07%
CO	911441	133066	14.60%
KY	736378	171280	23.26%
CT	585993	78909	13.47%
PA	1985809	345676	17.41%
LA	804859	207577	25.79%
TN	1094095	260262	23.79%
DC	72411	20378	28.14%
