Table with column headers in row 3						
"2014 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2015"						
State Postal Code	State FIPS Code	District ID	Name	Estimated Total Population	Estimated Population 5-17	Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL	01	00190	Alabaster City School District	"32,139"	"6,502"	974
AL	01	00005	Albertville City School District	"21,494"	"4,022"	"1,581"
AL	01	00030	Alexander City City School District	"17,276"	"2,673"	961
AL	01	00060	Andalusia City School District	"9,051"	"1,516"	492
AL	01	00090	Anniston City School District	"22,599"	"3,289"	"1,058"
AL	01	00100	Arab City School District	"8,227"	"1,495"	277
AL	01	00120	Athens City School District	"24,008"	"3,885"	714
AL	01	00180	Attalla City School District	"5,996"	957	298
AL	01	00210	Auburn City School District	"58,705"	"7,119"	"1,283"
AL	01	00240	Autauga County School District	"55,395"	"10,622"	"1,832"
AL	01	00270	Baldwin County School District	"200,111"	"33,171"	"6,118"
AL	01	00300	Barbour County School District	"14,026"	"1,782"	686
AL	01	00330	Bessemer City School District	"27,565"	"4,767"	"2,227"
AL	01	00360	Bibb County School District	"22,506"	"3,528"	866
AL	01	00390	Birmingham City School District	"213,072"	"30,731"	"14,908"
AL	01	00420	Blount County School District	"51,111"	"9,067"	"2,023"
AL	01	00012	Boaz City School District	"9,603"	"1,743"	479
AL	01	00450	Brewton City School District	"5,318"	867	271
AL	01	00480	Bullock County School District	"10,764"	"1,629"	649
AL	01	00510	Butler County School District	"20,296"	"3,551"	"1,235"
AL	01	00540	Calhoun County School District	"56,104"	"9,901"	"2,031"
AL	01	00600	Chambers County School District	"27,626"	"4,293"	"1,175"
AL	01	00630	Cherokee County School District	"26,037"	"4,053"	"1,019"
AL	01	00188	Chickasaw City School District	"6,135"	"1,027"	473
AL	01	00660	Chilton County School District	"43,931"	"7,812"	"2,070"
AL	01	00690	Choctaw County School District	"13,323"	"2,084"	592
AL	01	00720	Clarke County School District	"19,257"	"3,265"	"1,090"
AL	01	00750	Clay County School District	"13,552"	"2,204"	581
AL	01	00780	Cleburne County School District	"14,715"	"2,586"	589
AL	01	00810	Coffee County School District	"18,985"	"3,339"	661
AL	01	00840	Colbert County School District	"23,772"	"3,752"	984
AL	01	00870	Conecuh County School District	"12,670"	"2,013"	752
AL	01	00900	Coosa County School District	"10,886"	"1,472"	401
AL	01	00930	Covington County School District	"22,179"	"3,515"	820
AL	01	00960	Crenshaw County School District	"13,977"	"2,311"	610
AL	01	00990	Cullman City School District	"14,827"	"2,323"	644
AL	01	01020	Cullman County School District	"66,435"	"11,160"	"2,246"
AL	01	01050	Dale County School District	"15,018"	"2,530"	736
AL	01	01080	Daleville City School District	"11,330"	"1,875"	718
AL	01	01110	Dallas County School District	"21,954"	"4,010"	"1,603"
AL	01	01140	DeKalb County School District	"56,962"	"10,584"	"3,714"
AL	01	01170	Decatur City School District	"55,768"	"9,347"	"2,690"
AL	01	01200	Demopolis City School District	"7,156"	"1,254"	417
AL	01	01230	Dothan City School District	"67,583"	"11,603"	"3,601"
AL	01	01260	Elba City School District	"5,279"	839	307
AL	01	01290	Elmore County School District	"73,681"	"12,529"	"2,390"
AL	01	01320	Enterprise City School District	"27,111"	"4,866"	"1,182"
AL	01	01350	Escambia County School District	"32,415"	"5,152"	"1,590"
AL	01	01380	Etowah County School District	"59,873"	"10,123"	"2,030"
AL	01	01410	Eufaula City School District	"12,861"	"2,385"	835
AL	01	01440	Fairfield City School District	"11,158"	"1,893"	741
AL	01	01470	Fayette County School District	"15,597"	"2,537"	665
